"entrezgene_id" "external_gene_name"
104880450 "VIT_10s0116g00370"
100249081 "VIT_17s0000g01330"
100255522 "VIT_08s0007g06380"
100253107 "LOC100253107"
100257947 "LOC100257947"
100232888 "grip32"
100245843 "LOC100245843"
100241240 "VIT_09s0002g00720"
100241120 "VIT_13s0019g01810"
100264366 "VIT_18s0001g13950"
100853709 "VIT_16s0098g01020"
100264006 "VIT_07s0005g01710"
100265339 "LOC100265339"
100244516 "LOC100244516"
100250192 "LOC100250192"
100254683 "CBL08"
100255656 "VIT_12s0055g00830"
100252267 "VIT_12s0028g03770"
100249091 "RCOM_1506700_0"
100263039 "LOC100263039"
100257711 "VIT_14s0066g01710"
100257716 "VIT_11s0016g05430"
100255658 "LOC100255658"
100263156 "DOF3.6_4"
100257715 "LOC100257715"
100258926 "LOC100258926"
100241492 "VIT_05s0077g01200"
100262185 "LOC100262185"
100263393 "LOC100263393"
100263151 "VIT_07s0130g00370"
100242583 "VIT_07s0005g05860"
100241251 "LWD1_1"
100264235 "VIT_02s0012g01100"
100267985 "DEGP9_0"
100264477 "LOC100264477"
100244762 "VIT_05s0077g02140"
100267988 "LOC100267988"
100266898 "VIT_14s0083g00790"
100265689 "VIT_19s0085g00600"
100265208 "LOC100265208"
100852866 "LOC100852866"
100854923 "VIT_10s0003g01440"
100245979 "LOC100245979"
100246825 "AC101"
100251292 "LOC100251292"
100255741 "ephA_13"
100254410 "LOC100254410"
100252111 "VIT_07s0005g00470"
100250176 "VIT_06s0004g03800"
100256712 "VIT_13s0139g00250"
100254774 "VIT_08s0032g00720"
100252357 "LOC100252357"
100263369 "LOC100263369"
100255501 "VIT_00s0252g00030"
100253569 "LOC100253569"
100253689 "LOC100253689"
100252237 "LOC100252237"
100255747 "LOC100255747"
100263242 "VIT_05s0136g00240"
104879209 "VIT_05s0077g01320"
100263494 "VIT_09s0002g05690"
100266402 "VIT_05s0102g01120"
100267975 "Snrnp40"
100243644 "VIT_02s0012g02250"
100244972 "VIT_06s0004g07830"
100264347 "VIT_18s0001g10390"
100242795 "VIT_13s0019g04640"
100265799 "VIT_16s0098g01230"
100264106 "LOC100264106"
100242558 "VIT_05s0020g01730"
100243405 "LOC100243405"
100244857 "LOC100244857"
100252362 "PME36_0"
100251031 "LOC100251031"
100255870 "VIT_18s0001g12460"
100253453 "VIT_18s0001g05630"
100255871 "VIT_18s0001g14540"
100252123 "VIT_08s0007g07180"
100250068 "VIT_06s0004g01650"
100253336 "VIT_15s0046g01120"
100255638 "VIT_19s0014g00330"
100263135 "VIT_10s0042g01130"
100261198 "VIT_11s0016g05040"
104877397 "LOC104877397"
100249077 "LOC100249077"
100241470 "VIT_08s0040g02220"
100263480 "LOC100263480"
100264570 "LOC100264570"
100265781 "VIT_03s0063g00480"
104881408 "VIT_14s0128g00850"
100264694 "VIT_14s0171g00140"
100241598 "VIT_06s0004g05210"
100242446 "LOC100242446"
100265787 "VIT_03s0038g02430"
100267723 "VIT_18s0001g06940"
100246928 "LOC100246928"
100242326 "LOC100242326"
100249280 "VIT_04s0008g03720"
100252210 "VIT_08s0007g05920"
100250152 "LOC100250152"
